"","SICto","SICfrom","value"
"813","73","10.1",57.07742321
"814","74","10.1",18.87047641
"816","77","10.1",64.89525698
"817","78","10.1",240.001629
"818","79","10.1",8.819695705
"821","82","10.1",0.583067651
"822","84","10.1",5.293031582
"823","85","10.1",1.22131696
"829","93","10.1",0.904420673
"830","94","10.1",1.014154562
"832","96","10.1",0.200603137
"833","1","10.2.3",655.6599729
"835","3","10.2.3",162.2755058
"836","5","10.2.3",1.452374564
"840","10.1","10.2.3",12.41369958
"841","10.2-3","10.2.3",552.3147727
"842","10.4","10.2.3",47.60231153
"843","10.5","10.2.3",41.41745438
"844","10.6","10.2.3",94.37862443
"845","10.7","10.2.3",1.408522995
"846","10.8","10.2.3",259.3140809
"847","10.9","10.2.3",0.833389907
"848","11.01-6","10.2.3",0.829565017
"849","11.07","10.2.3",0.177297297
"854","16","10.2.3",0.400290207
"855","17","10.2.3",182.137269
"856","18","10.2.3",1.262194148
"857","19","10.2.3",9.497879664
"859","20B","10.2.3",1.029616925
"860","20C","10.2.3",1.958027711
"862","20.4","10.2.3",2.370839091
"863","20.5","10.2.3",1.022573572
"864","21","10.2.3",1.704617162
"865","22","10.2.3",184.8993229
"866","23OTHER","10.2.3",33.11878946
"869","24.4-5","10.2.3",2.898562481
"870","25OTHER","10.2.3",90.59484796
"874","28","10.2.3",1.327850435
"875","29","10.2.3",1.130934187
"879","31","10.2.3",1.109766694
"880","32","10.2.3",2.573622589
"883","33OTHER","10.2.3",26.59659059
"884","35.1","10.2.3",106.0128049
"885","35.2-3","10.2.3",161.5761964
"886","36","10.2.3",27.49761475
"887","37","10.2.3",6.077065974
"888","38","10.2.3",16.38957741
"890","41-43","10.2.3",3.933724254
"891","45","10.2.3",78.68267045
"892","46","10.2.3",262.7335185
"895","49.3-5","10.2.3",160.5696114
"898","52","10.2.3",8.760593082
"899","53","10.2.3",16.48214863
"900","55","10.2.3",0.954561799
"901","56","10.2.3",1.720415933
"902","58","10.2.3",4.568458975
"904","61","10.2.3",9.736591656
"905","62","10.2.3",35.52712877
"906","63","10.2.3",4.62992265
"907","64","10.2.3",210.0360254
"908","65.1-3","10.2.3",7.161738913
"909","66","10.2.3",0.129484295
"910","68.1-2","10.2.3",5.255616058
"912","69.1","10.2.3",0.920239694
"913","69.2","10.2.3",7.860406594
"914","70","10.2.3",7.567795656
"915","71","10.2.3",126.0174573
"916","72","10.2.3",46.66256113
"917","73","10.2.3",117.9791117
"918","74","10.2.3",8.290514214
"920","77","10.2.3",28.1975897
"921","78","10.2.3",115.8190766
"922","79","10.2.3",6.45059472
"925","82","10.2.3",27.28763979
"926","84","10.2.3",9.372879264
"927","85","10.2.3",1.090961719
"928","86","10.2.3",0.993373978
"934","94","10.2.3",0.149799534
"936","96","10.2.3",0.152279047
"937","1","10.4",114.7616503
"939","3","10.4",0.617934158
"944","10.1","10.4",24.2377715
"945","10.2-3","10.4",8.537262991
"946","10.4","10.4",56.91578178
"947","10.5","10.4",28.65126802
"948","10.6","10.4",11.03533613
"949","10.7","10.4",0.199689256
"950","10.8","10.4",7.784564219
"951","10.9","10.4",0.761256425
"952","11.01-6","10.4",0.220663053
"958","16","10.4",0.378810834
"959","17","10.4",10.11082541
"960","18","10.4",2.47812678
"961","19","10.4",4.69342194
"962","20A","10.4",1.247260666
"963","20B","10.4",0.502725989
"966","20.4","10.4",0.850537474
"968","21","10.4",1.097637705
"969","22","10.4",11.3026294
"970","23OTHER","10.4",0.580796184
"974","25OTHER","10.4",4.010596168
"978","28","10.4",3.6225462
"979","29","10.4",1.244204821
"984","32","10.4",1.414966594
"987","33OTHER","10.4",2.779502466
"988","35.1","10.4",13.83534168
"989","35.2-3","10.4",15.02135194
"990","36","10.4",13.95943589
"991","37","10.4",1.505714304
"992","38","10.4",1.764888835
"994","41-43","10.4",2.773599701
"995","45","10.4",8.48479131
"996","46","10.4",47.4543113
"998","49.1-2","10.4",1.230402596
"999","49.3-5","10.4",25.96162067
"1002","52","10.4",2.997145306
"1003","53","10.4",1.982573348
"1005","56","10.4",1.550973081
"1006","58","10.4",1.428100623
"1008","61","10.4",1.554783287
"1009","62","10.4",2.932597405
"1010","63","10.4",0.315542308
"1011","64","10.4",17.93698058
"1012","65.1-3","10.4",1.415421704
"1013","66","10.4",0.175346786
"1014","68.1-2","10.4",0.247114066
"1016","69.1","10.4",0.356120484
"1017","69.2","10.4",1.80074431
"1018","70","10.4",2.8375707
"1019","71","10.4",2.641454128
"1020","72","10.4",0.511465316
"1021","73","10.4",5.938090914
"1022","74","10.4",1.550956118
"1024","77","10.4",3.093727239
"1025","78","10.4",4.960435211
"1026","79","10.4",0.322132358
"1029","82","10.4",1.63453644
"1030","84","10.4",1.439253155
"1031","85","10.4",1.451158067
"1037","93","10.4",2.381045043
"1041","1","10.5",2464.754536
"1044","5","10.5",1.088471695
"1048","10.1","10.5",5.170141193
"1049","10.2-3","10.5",154.8709462
"1050","10.4","10.5",8.090059432
"1051","10.5","10.5",684.1745052
"1052","10.6","10.5",28.39494688
"1053","10.7","10.5",4.647660457
"1054","10.8","10.5",115.2742158
"1055","10.9","10.5",0.391615722
"1056","11.01-6","10.5",0.339539974
"1062","16","10.5",7.450560102
"1063","17","10.5",75.69772781
"1064","18","10.5",1.010008869
"1065","19","10.5",21.66267443
"1067","20B","10.5",0.210809641
"1070","20.4","10.5",9.322817824
"1071","20.5","10.5",0.945849413
"1072","21","10.5",0.799548765
"1073","22","10.5",206.9704083
"1074","23OTHER","10.5",11.89680166
"1076","24.1-3","10.5",0.929532091
"1078","25OTHER","10.5",48.1757832
"1081","27","10.5",0.936683777
"1082","28","10.5",0.945849413
"1083","29","10.5",0.945849413
"1087","31","10.5",0.957029001
"1088","32","10.5",3.84957106
"1091","33OTHER","10.5",28.31896732
"1092","35.1","10.5",87.27194704
"1093","35.2-3","10.5",98.19055163
"1094","36","10.5",18.90136935
"1095","37","10.5",4.714943696
"1096","38","10.5",7.703170023
"1098","41-43","10.5",6.58450845
"1099","45","10.5",93.42127374
"1100","46","10.5",217.2520416
"1102","49.1-2","10.5",0.929532091
"1103","49.3-5","10.5",247.3829324
"1104","50","10.5",1.849898546
"1106","52","10.5",10.45107585
"1107","53","10.5",11.16733044
"1109","56","10.5",2.986212376
"1110","58","10.5",2.977046739
"1112","61","10.5",4.010524615
