SIC,01,02,03,05,06 & 07,08,09,10.1,10.2-3,10.4,10.5,10.6,10.7,10.8,10.9,11.01-6,11.07,12,13,14,15,16,17,18,19,20.3,20.4,20.5,20A,20B,20C,21,22,23.5-6,23OTHER,24.1-3,24.4-5,25.4,25OTHER,26,27,28,29,30.1,30.3,30OTHER,31,32,33.15,33.16,33OTHER,35.1,35.2-3,36,37,38,39,"41, 42 & 43",45,46,47,49.1-2,49.3-5,50,51,52,53,55,56,58,59 & 60,61,62,63,64,65.1-2 & 65.3,66,68.1-2,68.3,69.1,69.2,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87 & 88,90,91,92,93,94,95,96
20.3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,62,195,373,0,247,0,9,0,4,0,0,19,17,39,1,2,0,307,15,54,109,371,43,33,28,49,16,22,2,31,0,0,0,7,13,0,842,5,64,62,10,12,0,0,4,2,13,32,271,19,9,14,1,11,4,5,21,0,3,5,1,8,4,53,1,0,2,8,1,1,0,5,109,156,0,75,4,4,17,23,12,0,21
20.4,44,5,0,0,0,0,0,15,8,0,21,0,23,18,0,4,0,0,0,0,0,0,0,0,0,0,1751,3,3,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,74,8,101,87,41,155,9,31,2,16,6,19,62,145,0,39,7,13,2,23,4,18,3,2,3,3,3,8,16,38,13,5,6,38,2,3,235,23,151,385,29,247,4,8,21,39,12,0,205
20.5,24,14,0,8,0,12,0,38,14,2,11,9,3,128,82,0,0,6,2,0,11,38,122,196,86,11,114,851,2,11,3,3,53,50,0,8,5,134,14,99,0,2,31,0,0,3,19,20,0,0,2,0,0,0,23,14,4,229,69,116,225,2,28,0,2,39,5,3,9,14,93,14,2,0,10,4,2,0,0,0,0,0,0,20,14,31,7,0,28,4,5,165,20,24,128,461,94,20,6,77,35,15,0,105
20A,430,4,2,2,72,15,9,1,3,1,0,6,7,5,0,15,3,0,9,0,7,1,54,1,5,178,85,175,402,3836,137,34,56,26,41,22,20,0,57,31,5,3,8,0,8,0,0,3,0,1,4,19,2,35,2,3,0,25,2,11,7,1,0,2,4,3,2,1,2,1,27,2,1,0,2,2,0,0,0,0,0,1,1,10,3,1,0,1,3,0,1,14,3,21,19,252,14,4,2,3,6,3,1,5
20B,19,4,0,6,0,16,0,0,1,0,0,26,16,23,0,24,30,0,501,0,32,62,402,10,45,562,212,811,933,8583,168,130,4480,238,630,182,75,3,110,72,769,57,1701,19,97,3,148,85,10,6,5,22,0,28,20,21,2,156,6,40,34,1,8,0,1,17,2,63,136,11,4,5,0,0,1,0,0,0,0,0,0,0,0,55,7,7,0,0,18,2,3,16,13,40,101,0,0,0,0,6,0,1,1,6
20C,604,5,0,0,0,0,0,1,4,0,0,1,0,0,0,0,6,0,53,0,4,0,18,1,8,200,12,14,68,63,304,5,39,20,5,23,23,1,13,6,7,2,8,0,20,0,0,2,0,1,0,1,4,6,7,6,0,37,2,36,42,1,5,0,0,11,0,1,2,1,11,5,1,0,1,8,0,0,0,0,0,0,1,6,2,1,1,0,6,1,1,10,5,37,39,41,9,1,0,5,2,2,0,16
21,316,0,0,0,0,0,0,0,1,0,0,47,0,0,593,0,0,0,0,0,0,0,0,0,5,0,88,0,0,0,0,4076,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,30,0,4,26,77,129,1,3,0,0,0,7,19,46,0,6,1,1,0,0,0,0,0,0,0,0,0,0,21,2,1,41,1,3,0,0,0,1,235,139,16709,96,1,0,7,0,5,0,29
22,232,1,27,3,2,15,0,406,296,5,328,52,261,300,37,16,400,0,57,2,10,92,152,112,10,73,616,212,9,12,0,89,2154,78,34,30,23,0,259,146,193,495,2581,154,74,25,250,161,23,6,147,15,2,4,15,18,2,5093,813,899,400,40,713,37,8,147,56,15,41,11,33,970,101,10,185,37,40,37,1,29,0,16,14,15,19,12,6,16,40,48,4,99,30,184,192,385,101,4,2,26,11,17,14,34
23.5-6,89,0,0,3,6,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,3,0,0,0,974,15,29,26,2,1,0,0,2,2,0,0,0,0,0,0,0,0,8,0,11,15,37,2,5684,3,147,28,41,3,0,1,11,3,0,0,0,30,16,1,0,0,0,0,12,0,0,0,0,0,0,2,1,0,0,3,0,1,14,4,191,283,42,5,5,19,3,70,3,0,3
23OTHER,64,0,0,3,2,60,0,0,52,0,18,0,0,138,0,450,70,0,0,0,0,66,3,0,0,9,64,13,10,83,0,36,217,178,685,181,186,0,76,237,92,12,517,29,6,0,1,17,10,0,12,3,0,0,2,52,0,4538,226,330,109,43,32,2,16,43,12,16,40,0,15,48,9,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,8,2,1,31,4,124,172,37,26,1,6,14,7,7,1,5
